"LR No.","Master waybill","Warehouse Name","Description ","Order Id","Service Code","Vendor Code","Total Weight (in KG)","Actual Weight","Box Count ",Length,Breadth,Height,"Payment Mode","COD AMOUNT",Insurance,"e-Way bill","Invoice Amount","Invoice No","Shipper GSTIN","Consignee GSTIN",Company,"Consignee Name",Contact,Address,"Destination Pincode","Destination City","Destination State","Origin Pincode",Date,"Customer Code","Import Status","Error Message"
990048865,58165988930,Gurugram,BOX,Barclays,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,48000,,,,"P M Relocations Private Limited",upender,,,110074,DELHI,Delhi,411044,26-05-2026,32987536,Failed,"Invalid Date Format (26-05-2026)"
990048864,58165988926,Gurugram,BOX,Barclays,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,48000,,,,"P M Relocations Private Limited",upender,,,110074,DELHI,Delhi,411044,26-05-2026,32987536,Failed,"Invalid Date Format (26-05-2026)"
990048863,58165988915,Gurugram,BOX,Mastercard,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,40000,,,,"P M Relocations Private Limited","Karthick Srinivasan",,,635109,HOSUR,Karnataka,411044,26-05-2026,32987536,Failed,"Invalid Date Format (26-05-2026)"
990048862,58165988904,Gurugram,BOX,Barclays,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,48000,,,,"P M Relocations Private Limited","Vaibhav Singh",,,411057,PUNE,Maharashtra,600060,26/5/2026,32987536,Success,"Inserted Successfully"
990048861,58165988171,Gurugram,BOX,Wipro,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,15000,,,,"P M Relocations Private Limited","Prakash Rathod",,,364002,BHAVNAGAR,Gujarat,382210,26/5/2026,32987536,Success,"Inserted Successfully"
990048860,53658483211,Gurugram,BOX,Wipro,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,10,1,1,10,10,10,PREPAID,,,,1000,,,,"P M Relocations Private Limited","RAJAT RAJ",,,824124,AURANGABAD-BR,,700043,26/5/2026,32987536,Success,"Inserted Successfully"
990048859,58165988160,Gurugram,BOX,Wipro,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,20000,,,,"P M Relocations Private Limited","SREEDHAR V",,,500016,HYDERABAD,Telangana,421302,26/5/2026,32987536,Success,"Inserted Successfully"
990048858,58165988156,Gurugram,BOX,Wipro,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,20000,,,,"P M Relocations Private Limited","Durga Pratap K",,,560078,BANGALORE,Karnataka,421302,26/5/2026,32987536,Success,"Inserted Successfully"
990048857,58165988145,Gurugram,BOX,Wipro,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,20000,,,,"P M Relocations Private Limited","Jatin Deka",," ",781315,BARPETA,,421302,26/5/2026,32987536,Success,"Inserted Successfully"
990048856,58165988134,Gurugram,BOX,Wipro,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,20000,,,,"P M Relocations Private Limited","SUMIT KUMAR PATRA",,,760001,BEHRAMPUR,ODISHA,421302,26/5/2026,32987536,Success,"Inserted Successfully"
990048855,58165988300,Gurugram,BOX,Wipro,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,20000,,,,"P M Relocations Private Limited","Rohan Sharma",,,560025,BANGALORE,Karnataka,421302,26/5/2026,32987536,Success,"Inserted Successfully"
990048854,58165988123,Gurugram,BOX,Wipro,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,20000,,,,"P M Relocations Private Limited","Mukesh Kumar / Ravi Sharma",,,302001,JAIPUR,Rajasthan,421302,26/5/2026,32987536,Success,"Inserted Successfully"
990048853,53658483174,Gurugram,BOX,concentrix,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,4.39,3,1,10,10,10,PREPAID,,,,49560,,,,"P M Relocations Private Limited",shrikant,,,560049,BANGALORE,Karnataka,411044,26/5/2026,32987536,Success,"Inserted Successfully"
